date,adx,band_lower,band_upper,close,dim,dip,div,ewma12,ewma26,macd,max,min,open,rsi,signal,tr1,tr2,tr3,vol
2001-12-14,,,,16.05,,,,,,,16.76,16.05,16.71,,,0.37,0.34,0.71,45872491
2001-12-17,,15.74,16.70,16.39,,,,,,,16.39,16.07,16.19,,,0.18,0.14,0.32,5327886
2001-12-18,,15.88,16.56,16.21,,,,,,,16.38,16.08,16.29,,,0.23,0.07,0.30,3866428
2001-12-19,,16.00,16.50,16.15,,,,,,,16.21,16.02,16.05,,,0.16,0.03,0.19,5146392
2001-12-20,,15.98,16.30,16.05,,,,,,,16.14,16.04,16.05,,,0.30,0.40,0.10,3009600
2001-12-21,,15.81,16.62,16.44,,,,,,,16.44,16.04,16.04,,,0.14,0.26,0.40,3104016
2001-12-24,,15.87,16.66,16.30,,,,,,,16.44,16.17,16.40,,,0.19,0.08,0.27,332251
2001-12-27,,16.13,16.53,16.25,,,,,,,16.25,16.17,16.25,,,0.04,0.12,0.08,946441
2001-12-28,,16.23,16.33,16.29,,,,,,,16.29,16.06,16.16,,,0.08,0.15,0.23,697726
2002-01-02,,16.17,16.33,16.21,,,,,,,16.38,16.14,16.28,,,0.14,0.10,0.24,760838
2002-01-03,,16.17,16.33,16.24,,,,16.24,,,16.29,16.17,16.25,,,0.09,0.03,0.12,788797
2002-01-04,,16.18,16.26,16.20,,,,16.24,,,16.25,16.16,16.21,,,0.40,0.49,0.09,2696935
2002-01-07,,15.87,16.86,16.65,,,,16.31,,,16.67,16.21,16.24,,,0.27,0.73,0.46,2149328
2002-01-08,,15.85,17.34,16.94,,,,16.42,,,17.02,16.56,16.57,,,0.08,0.38,0.46,3947091
2002-01-09,,16.51,17.18,16.94,,,,16.50,,,16.99,16.81,16.93,,,0.32,0.14,0.18,2101176
2002-01-10,,16.54,17.16,16.67,,,,16.53,,,16.93,16.54,16.89,,,0.25,0.14,0.39,1702311
2002-01-11,,16.46,17.07,16.68,,,,16.56,,,16.84,16.48,16.68,,,0.25,0.11,0.36,1213976
2002-01-14,,16.55,16.75,16.59,,,,16.56,,,16.66,16.40,16.66,,,0.23,0.49,0.26,865274
2002-01-15,,16.41,17.03,16.89,,,,16.61,,,16.89,16.52,16.52,,,0.04,0.33,0.37,1190382
2002-01-16,,16.45,17.10,16.85,,,,16.65,,,16.85,16.57,16.76,,,0.38,0.66,0.28,2202225
2002-01-17,,16.57,17.41,17.23,,,,16.74,,,17.23,16.72,16.76,,,0.20,0.31,0.51,3610774
2002-01-18,,16.66,17.42,17.03,,,,16.79,,,17.20,16.99,17.03,,,0.31,0.10,0.21,1631467
2002-01-21,,16.71,17.39,16.89,,,,16.80,,,17.02,16.67,17.01,,,0.15,0.20,0.35,1212179
2002-01-22,,16.76,17.10,16.87,,,,16.81,,,17.04,16.76,16.89,,,0.00,0.28,0.28,1831901
2002-01-23,,16.75,17.12,17.04,,,,16.85,16.72,0.13,17.16,16.80,16.88,,,0.13,0.49,0.36,1974679
2002-01-24,,16.64,17.49,17.29,,,,16.92,16.77,0.15,17.39,16.95,16.99,,,0.17,0.27,0.44,3775315
2002-01-25,,16.93,17.44,17.22,,,,16.97,16.81,0.16,17.32,17.03,17.12,64.92,,0.15,0.14,0.29,1182206
2002-01-28,,17.11,17.35,17.17,,,,17.00,16.84,0.16,17.25,17.04,17.22,63.10,,0.03,0.18,0.21,1228110
2002-01-29,,17.15,17.26,17.22,,,,17.03,16.87,0.16,17.31,17.13,17.13,64.18,,0.28,0.10,0.18,1254290
2002-01-30,,16.94,17.34,17.03,,,,17.03,16.88,0.15,17.23,17.02,17.06,57.34,,0.20,0.01,0.21,820857
2002-01-31,,16.87,17.31,17.03,,,,17.03,16.90,0.14,17.15,17.03,17.09,57.34,,0.19,0.07,0.12,1022394
2002-02-01,,16.93,17.09,16.96,,,,17.02,16.90,0.12,17.12,16.88,17.04,54.84,,0.68,0.44,0.24,584614
2002-02-04,,16.17,17.45,16.44,,,,16.93,16.86,0.07,16.92,16.25,16.85,40.67,,0.44,0.23,0.67,1016911
2002-02-05,,16.05,17.21,16.48,,,,16.86,16.83,0.03,16.53,16.35,16.39,41.91,,0.14,0.04,0.18,980248
2002-02-06,,16.35,16.53,16.39,,,,16.79,16.80,-0.01,16.46,16.10,16.39,39.88,,0.25,0.11,0.36,1957505
2002-02-07,,16.09,16.63,16.21,,,,16.70,16.75,-0.05,16.39,16.16,16.16,36.12,,0.19,0.42,0.23,489353
2002-02-08,,16.02,16.76,16.58,,,,16.68,16.74,-0.06,16.89,16.23,16.30,47.15,,0.10,0.76,0.66,678819
2002-02-11,,15.81,17.37,16.99,,,,16.73,16.76,-0.03,17.03,16.51,16.51,56.18,,0.04,0.56,0.52,540031
2002-02-12,,16.35,17.41,17.07,,,,16.78,16.78,-0.00,17.19,16.94,17.01,57.70,,0.37,0.62,0.25,1194068
2002-02-13,,16.59,17.82,17.56,,,,16.90,16.84,0.06,17.56,16.96,16.96,65.57,,0.11,0.49,0.60,2356417
2002-02-14,,16.85,17.87,17.45,,,,16.99,16.89,0.10,17.54,16.94,16.94,62.75,,0.19,0.41,0.60,1579079
2002-02-15,,17.24,17.66,17.35,13.35,21.39,,17.04,16.92,0.12,17.45,17.23,17.23,60.21,,0.08,0.14,0.22,709779
2002-02-18,,17.28,17.50,17.37,12.58,20.15,,17.09,16.96,0.13,17.40,17.23,17.35,60.56,,0.46,0.29,0.17,476176
2002-02-19,,16.73,17.71,16.94,16.08,19.00,,17.07,16.96,0.11,17.35,16.89,17.31,50.47,,0.26,0.20,0.46,580407
2002-02-20,,16.70,17.57,17.09,19.25,17.17,,17.07,16.97,0.10,17.31,16.49,16.85,53.38,,0.45,0.37,0.82,774641
2002-02-21,,16.73,17.20,16.86,18.04,16.10,,17.04,16.96,0.08,17.30,16.76,17.13,48.65,,0.36,0.18,0.54,539265
2002-02-22,,16.73,17.20,16.94,17.58,15.18,,17.02,16.96,0.07,17.17,16.71,16.71,50.30,,0.04,0.50,0.46,562258
2002-02-25,,16.64,17.37,17.21,16.83,15.57,,17.05,16.98,0.08,17.26,16.89,16.94,55.50,,0.15,0.22,0.37,184292
2002-02-26,,16.81,17.36,17.11,16.28,15.06,,17.06,16.99,0.07,17.17,16.94,17.00,53.28,,0.05,0.28,0.23,426905
2002-02-27,,17.06,17.30,17.22,15.58,14.99,0.01,17.09,17.00,0.08,17.22,16.98,17.04,55.39,0.08,0.13,0.37,0.24,472062
2002-02-28,,16.99,17.47,17.35,14.97,15.94,0.02,17.13,17.03,0.10,17.35,17.12,17.12,57.82,0.08,0.10,0.33,0.23,496596
2002-03-01,,17.11,17.57,17.45,14.38,16.50,0.03,17.18,17.06,0.11,17.45,17.26,17.27,59.65,0.08,0.33,0.14,0.19,620811
2002-03-04,,16.97,17.65,17.12,15.49,15.85,0.02,17.17,17.07,0.10,17.45,17.12,17.29,51.71,0.08,0.25,0.08,0.33,2119320
2002-03-05,,16.91,17.60,17.20,17.12,15.07,0.01,17.17,17.08,0.10,17.33,16.92,17.12,53.33,0.08,0.21,0.20,0.41,1443146
2002-03-06,,17.05,17.24,17.12,16.48,14.51,0.00,17.16,17.08,0.08,17.28,16.97,17.17,51.47,0.08,0.02,0.29,0.31,872699
2002-03-07,,17.05,17.33,17.26,16.01,14.96,0.00,17.18,17.09,0.09,17.35,17.12,17.12,54.46,0.08,0.09,0.14,0.23,578404
2002-03-08,,17.05,17.37,17.26,15.68,15.17,0.00,17.19,17.11,0.09,17.43,17.08,17.35,54.46,0.08,0.42,0.07,0.35,1086832
2002-03-11,,16.89,17.47,17.01,16.24,14.41,-0.02,17.16,17.10,0.06,17.38,16.97,17.22,48.29,0.08,0.35,0.06,0.41,936554
2002-03-12,,16.82,17.38,17.03,15.83,14.05,-0.03,17.14,17.09,0.05,17.22,17.02,17.08,48.79,0.08,0.06,0.14,0.20,777509
